ID,Row,Column,Percent
1,1,1,0.01
2,1,2,0.02
3,1,3,0.03
4,1,4,0.04
5,1,5,0.05
6,1,6,0.06
7,1,7,0.07
8,1,8,0.08
9,1,9,0.09
10,1,10,0.1
11,2,1,0.11
12,2,2,0.12
13,2,3,0.13
14,2,4,0.14
15,2,5,0.15
16,2,6,0.16
17,2,7,0.17
18,2,8,0.18
19,2,9,0.19
20,2,10,0.2
21,3,1,0.21
22,3,2,0.22
23,3,3,0.23
24,3,4,0.24
25,3,5,0.25
26,3,6,0.26
27,3,7,0.27
28,3,8,0.28
29,3,9,0.29
30,3,10,0.3
31,4,1,0.31
32,4,2,0.32
33,4,3,0.33
34,4,4,0.34
35,4,5,0.35
36,4,6,0.36
37,4,7,0.37
38,4,8,0.38
39,4,9,0.39
40,4,10,0.4
41,5,1,0.41
42,5,2,0.42
43,5,3,0.43
44,5,4,0.44
45,5,5,0.45
46,5,6,0.46
47,5,7,0.47
48,5,8,0.48
49,5,9,0.49
50,5,10,0.5
51,6,1,0.51
52,6,2,0.52
53,6,3,0.53
54,6,4,0.54
55,6,5,0.55
56,6,6,0.56
57,6,7,0.57
58,6,8,0.58
59,6,9,0.59
60,6,10,0.6
61,7,1,0.61
62,7,2,0.62
63,7,3,0.63
64,7,4,0.64
65,7,5,0.65
66,7,6,0.66
67,7,7,0.67
68,7,8,0.68
69,7,9,0.69
70,7,10,0.7
71,8,1,0.71
72,8,2,0.72
73,8,3,0.73
74,8,4,0.74
75,8,5,0.75
76,8,6,0.76
77,8,7,0.77
78,8,8,0.78
79,8,9,0.79
80,8,10,0.8
81,9,1,0.81
82,9,2,0.82
83,9,3,0.83
84,9,4,0.84
85,9,5,0.85
86,9,6,0.86
87,9,7,0.87
88,9,8,0.88
89,9,9,0.89
90,9,10,0.9
91,10,1,0.91
92,10,2,0.92
93,10,3,0.93
94,10,4,0.94
95,10,5,0.95
96,10,6,0.96
97,10,7,0.97
98,10,8,0.98
99,10,9,0.99
100,10,10,1
